branch,park_type,family,model,line
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_4c0f4e6c6c__places,stg_portal_cka_western_pennsylv_4c0f4e6c6c__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_4d90100824__places,stg_portal_cka_western_pennsylv_4d90100824__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_4d90100824__places,stg_portal_cka_western_pennsylv_4d90100824__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_4e5c66124a__places,stg_portal_cka_western_pennsylv_4e5c66124a__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_4e9f15e555__places,stg_portal_cka_western_pennsylv_4e9f15e555__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_4e9f15e555__places,stg_portal_cka_western_pennsylv_4e9f15e555__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_4fc22c2c30__places,stg_portal_cka_western_pennsylv_4fc22c2c30__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_51b8dcf278__places,stg_portal_cka_western_pennsylv_51b8dcf278__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_55b456c408__places,stg_portal_cka_western_pennsylv_55b456c408__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_5a83580b83__places,stg_portal_cka_western_pennsylv_5a83580b83__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_5a83580b83__places,stg_portal_cka_western_pennsylv_5a83580b83__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_5b3c7ae148__places,stg_portal_cka_western_pennsylv_5b3c7ae148__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_5b3c7ae148__places,stg_portal_cka_western_pennsylv_5b3c7ae148__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_5c36bf1b9f__places,stg_portal_cka_western_pennsylv_5c36bf1b9f__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_5c36bf1b9f__places,stg_portal_cka_western_pennsylv_5c36bf1b9f__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_6271eb297f__places,stg_portal_cka_western_pennsylv_6271eb297f__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_6271eb297f__places,stg_portal_cka_western_pennsylv_6271eb297f__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_645f59a90f__places,stg_portal_cka_western_pennsylv_645f59a90f__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_645f59a90f__places,stg_portal_cka_western_pennsylv_645f59a90f__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_654e0b3182__places,stg_portal_cka_western_pennsylv_654e0b3182__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_68a8a0027a__places,stg_portal_cka_western_pennsylv_68a8a0027a__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_68a8a0027a__places,stg_portal_cka_western_pennsylv_68a8a0027a__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_69c80c6f70__places,stg_portal_cka_western_pennsylv_69c80c6f70__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_69c80c6f70__places,stg_portal_cka_western_pennsylv_69c80c6f70__places: no date column — snapshot only
per person served,needs-population,inspection,stg_portal_cka_western_pennsylv_6a4c3e0e78__records,stg_portal_cka_western_pennsylv_6a4c3e0e78__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,inspection,stg_portal_cka_western_pennsylv_6a4c3e0e78__records,stg_portal_cka_western_pennsylv_6a4c3e0e78__records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,inspection,stg_portal_cka_western_pennsylv_6a4c3e0e78__records,stg_portal_cka_western_pennsylv_6a4c3e0e78__records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,inspection,stg_portal_cka_western_pennsylv_6a4c3e0e78__records,stg_portal_cka_western_pennsylv_6a4c3e0e78__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,inspection,stg_portal_cka_western_pennsylv_6a4c3e0e78__records,stg_portal_cka_western_pennsylv_6a4c3e0e78__records: harm lives in a different fact table
per person served,needs-population,place,stg_portal_cka_western_pennsylv_6d76bcb39c__places,stg_portal_cka_western_pennsylv_6d76bcb39c__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_6d76bcb39c__places,stg_portal_cka_western_pennsylv_6d76bcb39c__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_6dc9e5d03f__places,stg_portal_cka_western_pennsylv_6dc9e5d03f__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_6dc9e5d03f__places,stg_portal_cka_western_pennsylv_6dc9e5d03f__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_6ea0259598__places,stg_portal_cka_western_pennsylv_6ea0259598__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_6ea0259598__places,stg_portal_cka_western_pennsylv_6ea0259598__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_72f70a0697__places,stg_portal_cka_western_pennsylv_72f70a0697__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_72f70a0697__places,stg_portal_cka_western_pennsylv_72f70a0697__places: no date column — snapshot only
join to the entity spine,needs-crosswalk,UNMAPPED,stg_portal_cka_western_pennsylv_769bebae41__records,stg_portal_cka_western_pennsylv_769bebae41__records: spine entity undetermined at onboarding
any trend over time,needs-history,UNMAPPED,stg_portal_cka_western_pennsylv_769bebae41__records,stg_portal_cka_western_pennsylv_769bebae41__records: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_7880b791df__places,stg_portal_cka_western_pennsylv_7880b791df__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_7880b791df__places,stg_portal_cka_western_pennsylv_7880b791df__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_7ac49e7444__places,stg_portal_cka_western_pennsylv_7ac49e7444__places: no population/served column on the thing itself
per person served,needs-population,program,stg_portal_cka_western_pennsylv_7bfb1a4c7d__records,stg_portal_cka_western_pennsylv_7bfb1a4c7d__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,program,stg_portal_cka_western_pennsylv_7bfb1a4c7d__records,stg_portal_cka_western_pennsylv_7bfb1a4c7d__records: spine entity undetermined at onboarding
any trend over time,needs-history,program,stg_portal_cka_western_pennsylv_7bfb1a4c7d__records,stg_portal_cka_western_pennsylv_7bfb1a4c7d__records: no date column — snapshot only
per person served,needs-population,asset,stg_portal_cka_western_pennsylv_7d8c19b074__records,stg_portal_cka_western_pennsylv_7d8c19b074__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,asset,stg_portal_cka_western_pennsylv_7d8c19b074__records,stg_portal_cka_western_pennsylv_7d8c19b074__records: spine entity undetermined at onboarding
any trend over time,needs-history,asset,stg_portal_cka_western_pennsylv_7d8c19b074__records,stg_portal_cka_western_pennsylv_7d8c19b074__records: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_82d49e467f__places,stg_portal_cka_western_pennsylv_82d49e467f__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_82d49e467f__places,stg_portal_cka_western_pennsylv_82d49e467f__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_8863985427__places,stg_portal_cka_western_pennsylv_8863985427__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_8863985427__places,stg_portal_cka_western_pennsylv_8863985427__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_8a08b89d4d__places,stg_portal_cka_western_pennsylv_8a08b89d4d__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_8b35a60c42__places,stg_portal_cka_western_pennsylv_8b35a60c42__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_8b4d96292c__places,stg_portal_cka_western_pennsylv_8b4d96292c__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_8b4d96292c__places,stg_portal_cka_western_pennsylv_8b4d96292c__places: no date column — snapshot only
per person served,needs-population,case,stg_portal_cka_western_pennsylv_90a0a8b740__records,stg_portal_cka_western_pennsylv_90a0a8b740__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,case,stg_portal_cka_western_pennsylv_90a0a8b740__records,stg_portal_cka_western_pennsylv_90a0a8b740__records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,case,stg_portal_cka_western_pennsylv_90a0a8b740__records,stg_portal_cka_western_pennsylv_90a0a8b740__records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,case,stg_portal_cka_western_pennsylv_90a0a8b740__records,stg_portal_cka_western_pennsylv_90a0a8b740__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,case,stg_portal_cka_western_pennsylv_90a0a8b740__records,stg_portal_cka_western_pennsylv_90a0a8b740__records: harm lives in a different fact table
per person served,needs-population,place,stg_portal_cka_western_pennsylv_90c8ee5e0c__places,stg_portal_cka_western_pennsylv_90c8ee5e0c__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_90c8ee5e0c__places,stg_portal_cka_western_pennsylv_90c8ee5e0c__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_93f5df3d76__places,stg_portal_cka_western_pennsylv_93f5df3d76__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_9b3ec4abb9__places,stg_portal_cka_western_pennsylv_9b3ec4abb9__places: no population/served column on the thing itself
per person served,needs-population,payment,stg_portal_cka_western_pennsylv_9ef4c60f58__records,stg_portal_cka_western_pennsylv_9ef4c60f58__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,payment,stg_portal_cka_western_pennsylv_9ef4c60f58__records,stg_portal_cka_western_pennsylv_9ef4c60f58__records: spine entity undetermined at onboarding
any trend over time,needs-history,payment,stg_portal_cka_western_pennsylv_9ef4c60f58__records,stg_portal_cka_western_pennsylv_9ef4c60f58__records: no date column — snapshot only
was there an inspection first (real lineage),needs-lineage,payment,stg_portal_cka_western_pennsylv_9ef4c60f58__records,stg_portal_cka_western_pennsylv_9ef4c60f58__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,payment,stg_portal_cka_western_pennsylv_9ef4c60f58__records,stg_portal_cka_western_pennsylv_9ef4c60f58__records: harm lives in a different fact table
per person served,needs-population,place,stg_portal_cka_western_pennsylv_a28434a3c7__places,stg_portal_cka_western_pennsylv_a28434a3c7__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_a28434a3c7__places,stg_portal_cka_western_pennsylv_a28434a3c7__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_a3608ce8e0__places,stg_portal_cka_western_pennsylv_a3608ce8e0__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_a3608ce8e0__places,stg_portal_cka_western_pennsylv_a3608ce8e0__places: no date column — snapshot only
join to the entity spine,needs-crosswalk,crosswalk,stg_portal_cka_western_pennsylv_a3b7349811__records,stg_portal_cka_western_pennsylv_a3b7349811__records: spine entity undetermined at onboarding
per person served,needs-population,facility,stg_portal_cka_western_pennsylv_aad84a1f6e__records,stg_portal_cka_western_pennsylv_aad84a1f6e__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,facility,stg_portal_cka_western_pennsylv_aad84a1f6e__records,stg_portal_cka_western_pennsylv_aad84a1f6e__records: spine entity undetermined at onboarding
any trend over time,needs-history,facility,stg_portal_cka_western_pennsylv_aad84a1f6e__records,stg_portal_cka_western_pennsylv_aad84a1f6e__records: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_ab591e1d68__places,stg_portal_cka_western_pennsylv_ab591e1d68__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_ab591e1d68__places,stg_portal_cka_western_pennsylv_ab591e1d68__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_abe01a0035__places,stg_portal_cka_western_pennsylv_abe01a0035__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_abe01a0035__places,stg_portal_cka_western_pennsylv_abe01a0035__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_acac6b8fec__places,stg_portal_cka_western_pennsylv_acac6b8fec__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_acac6b8fec__places,stg_portal_cka_western_pennsylv_acac6b8fec__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_ad0d8250df__places,stg_portal_cka_western_pennsylv_ad0d8250df__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_ad0d8250df__places,stg_portal_cka_western_pennsylv_ad0d8250df__places: no date column — snapshot only
any trend over time,needs-history,asset,stg_portal_cka_western_pennsylv_b25e480dfc__assets,stg_portal_cka_western_pennsylv_b25e480dfc__assets: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_b98322d4cc__places,stg_portal_cka_western_pennsylv_b98322d4cc__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_b98322d4cc__places,stg_portal_cka_western_pennsylv_b98322d4cc__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_bcbe92c64c__places,stg_portal_cka_western_pennsylv_bcbe92c64c__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_bcbe92c64c__places,stg_portal_cka_western_pennsylv_bcbe92c64c__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_bdeb900523__places,stg_portal_cka_western_pennsylv_bdeb900523__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_bdeb900523__places,stg_portal_cka_western_pennsylv_bdeb900523__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_bfee19f210__places,stg_portal_cka_western_pennsylv_bfee19f210__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_bfee19f210__places,stg_portal_cka_western_pennsylv_bfee19f210__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_c458f119b1__places,stg_portal_cka_western_pennsylv_c458f119b1__places: no population/served column on the thing itself
per person served,needs-population,unresolved,stg_portal_cka_western_pennsylv_c7339fba3b__records,stg_portal_cka_western_pennsylv_c7339fba3b__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_portal_cka_western_pennsylv_c7339fba3b__records,stg_portal_cka_western_pennsylv_c7339fba3b__records: spine entity undetermined at onboarding
any trend over time,needs-history,unresolved,stg_portal_cka_western_pennsylv_c7339fba3b__records,stg_portal_cka_western_pennsylv_c7339fba3b__records: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_c87fa1c650__places,stg_portal_cka_western_pennsylv_c87fa1c650__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_c87fa1c650__places,stg_portal_cka_western_pennsylv_c87fa1c650__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_d179e603d1__places,stg_portal_cka_western_pennsylv_d179e603d1__places: no population/served column on the thing itself
per person served,needs-population,case,stg_portal_cka_western_pennsylv_d7da51769c__records,stg_portal_cka_western_pennsylv_d7da51769c__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,case,stg_portal_cka_western_pennsylv_d7da51769c__records,stg_portal_cka_western_pennsylv_d7da51769c__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,case,stg_portal_cka_western_pennsylv_d7da51769c__records,stg_portal_cka_western_pennsylv_d7da51769c__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,case,stg_portal_cka_western_pennsylv_d7da51769c__records,stg_portal_cka_western_pennsylv_d7da51769c__records: harm lives in a different fact table
per person served,needs-population,violation,stg_portal_cka_western_pennsylv_ddb61776d0__records,stg_portal_cka_western_pennsylv_ddb61776d0__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,violation,stg_portal_cka_western_pennsylv_ddb61776d0__records,stg_portal_cka_western_pennsylv_ddb61776d0__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,violation,stg_portal_cka_western_pennsylv_ddb61776d0__records,stg_portal_cka_western_pennsylv_ddb61776d0__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,violation,stg_portal_cka_western_pennsylv_ddb61776d0__records,stg_portal_cka_western_pennsylv_ddb61776d0__records: harm lives in a different fact table
per person served,needs-population,place,stg_portal_cka_western_pennsylv_e91e8047aa__places,stg_portal_cka_western_pennsylv_e91e8047aa__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_e91e8047aa__places,stg_portal_cka_western_pennsylv_e91e8047aa__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_eac54ade9a__places,stg_portal_cka_western_pennsylv_eac54ade9a__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_eac54ade9a__places,stg_portal_cka_western_pennsylv_eac54ade9a__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_ed65b530a3__places,stg_portal_cka_western_pennsylv_ed65b530a3__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_ed65b530a3__places,stg_portal_cka_western_pennsylv_ed65b530a3__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_eed8a7bfa0__places,stg_portal_cka_western_pennsylv_eed8a7bfa0__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_eed8a7bfa0__places,stg_portal_cka_western_pennsylv_eed8a7bfa0__places: no date column — snapshot only
per person served,needs-population,registration,stg_portal_cka_western_pennsylv_ef682f7e59__records,stg_portal_cka_western_pennsylv_ef682f7e59__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,registration,stg_portal_cka_western_pennsylv_ef682f7e59__records,stg_portal_cka_western_pennsylv_ef682f7e59__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,registration,stg_portal_cka_western_pennsylv_ef682f7e59__records,stg_portal_cka_western_pennsylv_ef682f7e59__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,registration,stg_portal_cka_western_pennsylv_ef682f7e59__records,stg_portal_cka_western_pennsylv_ef682f7e59__records: harm lives in a different fact table
per person served,needs-population,place,stg_portal_cka_western_pennsylv_f1da76157b__places,stg_portal_cka_western_pennsylv_f1da76157b__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_f1da76157b__places,stg_portal_cka_western_pennsylv_f1da76157b__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_f25943de2b__places,stg_portal_cka_western_pennsylv_f25943de2b__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_f25943de2b__places,stg_portal_cka_western_pennsylv_f25943de2b__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_f37c7e01bf__places,stg_portal_cka_western_pennsylv_f37c7e01bf__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_f5e7848c24__places,stg_portal_cka_western_pennsylv_f5e7848c24__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_f5e7848c24__places,stg_portal_cka_western_pennsylv_f5e7848c24__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_f66e0e22da__places,stg_portal_cka_western_pennsylv_f66e0e22da__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_western_pennsylv_f6a018a1cb__records,stg_portal_cka_western_pennsylv_f6a018a1cb__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,place,stg_portal_cka_western_pennsylv_f6a018a1cb__records,stg_portal_cka_western_pennsylv_f6a018a1cb__records: spine entity undetermined at onboarding
per person served,needs-population,registry,stg_portal_cka_western_pennsylv_f810addeec__records,stg_portal_cka_western_pennsylv_f810addeec__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,registry,stg_portal_cka_western_pennsylv_f810addeec__records,stg_portal_cka_western_pennsylv_f810addeec__records: spine entity undetermined at onboarding
per person served,needs-population,unresolved,stg_portal_cka_western_pennsylv_f82e02e6b2__records,stg_portal_cka_western_pennsylv_f82e02e6b2__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_portal_cka_western_pennsylv_f82e02e6b2__records,stg_portal_cka_western_pennsylv_f82e02e6b2__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_portal_cka_western_pennsylv_f82e02e6b2__records,stg_portal_cka_western_pennsylv_f82e02e6b2__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_portal_cka_western_pennsylv_f82e02e6b2__records,stg_portal_cka_western_pennsylv_f82e02e6b2__records: harm lives in a different fact table
per person served,needs-population,place,stg_portal_cka_western_pennsylv_fbecf42e16__records,stg_portal_cka_western_pennsylv_fbecf42e16__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,place,stg_portal_cka_western_pennsylv_fbecf42e16__records,stg_portal_cka_western_pennsylv_fbecf42e16__records: spine entity undetermined at onboarding
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_fbecf42e16__records,stg_portal_cka_western_pennsylv_fbecf42e16__records: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_western_pennsylv_fc5ff8e6dd__places,stg_portal_cka_western_pennsylv_fc5ff8e6dd__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_fc5ff8e6dd__places,stg_portal_cka_western_pennsylv_fc5ff8e6dd__places: no date column — snapshot only
per person served,needs-population,unresolved,stg_portal_cka_western_pennsylv_fd81b4fb82__records,stg_portal_cka_western_pennsylv_fd81b4fb82__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_portal_cka_western_pennsylv_fd81b4fb82__records,stg_portal_cka_western_pennsylv_fd81b4fb82__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_portal_cka_western_pennsylv_fd81b4fb82__records,stg_portal_cka_western_pennsylv_fd81b4fb82__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_portal_cka_western_pennsylv_fd81b4fb82__records,stg_portal_cka_western_pennsylv_fd81b4fb82__records: harm lives in a different fact table
per person served,needs-population,place,stg_portal_cka_western_pennsylv_fde38758c9__places,stg_portal_cka_western_pennsylv_fde38758c9__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_western_pennsylv_fde38758c9__places,stg_portal_cka_western_pennsylv_fde38758c9__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_wprdc_allegheny_024b629f91__places,stg_portal_cka_wprdc_allegheny_024b629f91__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_wprdc_allegheny_024b629f91__places,stg_portal_cka_wprdc_allegheny_024b629f91__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_wprdc_allegheny_0b1ba76ac0__places,stg_portal_cka_wprdc_allegheny_0b1ba76ac0__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_wprdc_allegheny_0b1ba76ac0__places,stg_portal_cka_wprdc_allegheny_0b1ba76ac0__places: no date column — snapshot only
per person served,needs-population,facility,stg_portal_cka_wprdc_allegheny_0cd6a9957c__records,stg_portal_cka_wprdc_allegheny_0cd6a9957c__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,facility,stg_portal_cka_wprdc_allegheny_0cd6a9957c__records,stg_portal_cka_wprdc_allegheny_0cd6a9957c__records: spine entity undetermined at onboarding
any trend over time,needs-history,facility,stg_portal_cka_wprdc_allegheny_0cd6a9957c__records,stg_portal_cka_wprdc_allegheny_0cd6a9957c__records: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_wprdc_allegheny_12c9244c06__places,stg_portal_cka_wprdc_allegheny_12c9244c06__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_wprdc_allegheny_16a0bb67b4__records,stg_portal_cka_wprdc_allegheny_16a0bb67b4__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,place,stg_portal_cka_wprdc_allegheny_16a0bb67b4__records,stg_portal_cka_wprdc_allegheny_16a0bb67b4__records: spine entity undetermined at onboarding
per person served,needs-population,place,stg_portal_cka_wprdc_allegheny_191c75508b__places,stg_portal_cka_wprdc_allegheny_191c75508b__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_wprdc_allegheny_191c75508b__places,stg_portal_cka_wprdc_allegheny_191c75508b__places: no date column — snapshot only
join to the entity spine,needs-crosswalk,crosswalk,stg_portal_cka_wprdc_allegheny_1b2d51749e__records,stg_portal_cka_wprdc_allegheny_1b2d51749e__records: spine entity undetermined at onboarding
per person served,needs-population,case,stg_portal_cka_wprdc_allegheny_1ba8209338__records,stg_portal_cka_wprdc_allegheny_1ba8209338__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,case,stg_portal_cka_wprdc_allegheny_1ba8209338__records,stg_portal_cka_wprdc_allegheny_1ba8209338__records: spine entity undetermined at onboarding
multi-year trending,needs-history,case,stg_portal_cka_wprdc_allegheny_1ba8209338__records,"stg_portal_cka_wprdc_allegheny_1ba8209338__records: single-year table — history exists at publisher, not loaded"
assessed vs actually collected,needs-second-table,case,stg_portal_cka_wprdc_allegheny_1ba8209338__records,stg_portal_cka_wprdc_allegheny_1ba8209338__records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,case,stg_portal_cka_wprdc_allegheny_1ba8209338__records,stg_portal_cka_wprdc_allegheny_1ba8209338__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,case,stg_portal_cka_wprdc_allegheny_1ba8209338__records,stg_portal_cka_wprdc_allegheny_1ba8209338__records: harm lives in a different fact table
per person served,needs-population,place,stg_portal_cka_wprdc_allegheny_1c103ee2cd__places,stg_portal_cka_wprdc_allegheny_1c103ee2cd__places: no population/served column on the thing itself
per person served,needs-population,place,stg_portal_cka_wprdc_allegheny_1e2c46c189__places,stg_portal_cka_wprdc_allegheny_1e2c46c189__places: no population/served column on the thing itself
any trend over time,needs-history,place,stg_portal_cka_wprdc_allegheny_1e2c46c189__places,stg_portal_cka_wprdc_allegheny_1e2c46c189__places: no date column — snapshot only
per person served,needs-population,place,stg_portal_cka_wprdc_allegheny_1ef371e8e0__places,stg_portal_cka_wprdc_allegheny_1ef371e8e0__places: no population/served column on the thing itself
