model,family,class,n_rows,date_min,date_max,span_years,clock_verdict,time_columns_present,epoch1970,far_future,dup_ratio
open_data__intl_es_datosgob,unresolved,event,1000,,,,NO_CLOCK,,0,0,0.0
open_data__intl_fr_data_gouv,dataset,noun,130431,0001-01-01,9999-12-31,9998.8,CORRUPT_RANGE,LAST_UPDATE,68,583,0.0
open_data__intl_ge_datagov,unresolved,event,1,,,,UNMEASURED_CLOCK,DATE_PUBLISHED|DATE_UPDATED,0,0,0.0
open_data__intl_gh_datagovgh,unresolved,event,10,,,,UNMEASURED_CLOCK,DATE_PUBLISHED,0,0,0.0
open_data__intl_gr_datagov,unresolved,event,4988,,,,UNMEASURED_CLOCK,DATE_CREATED,0,0,0.0
open_data__xc_wayback_doj_epstein,measurement,event,1537352,2025-12-19 21:13:27,2026-06-12 04:46:01.295000,0.5,SHORT_SPAN,,0,0,0.0
politics__bill_cosponsors,unresolved,event,367735,2023-01-09,2026-06-25,3.5,CLEAN,,0,0,0.0
politics__bills,unresolved,event,36465,2023-01-03,2026-06-26,3.5,CLEAN,,0,0,0.0
politics__ca_lobby_amendments,filing,event+noun,25249,0107-10-31,5201-11-18,5093.9,CORRUPT_RANGE,EXEC_DATE|FROM_DATE|THRU_DATE,0,15,0.0
politics__ca_lobby_chg_log,change,event,85765,0001-04-30,7002-02-28,7000.7,CORRUPT_RANGE,LOG_DT|ETHICS_DT|EFFECT_DT,0,8,0.0
politics__ca_lobby_contributions,contribution,event,6505,0200-06-30,2031-03-01,1830.6,CORRUPT_RANGE,FILING_PERIOD_START_DT|FILING_PERIOD_END_DT|CONTRIBUTION_DT,0,0,0.0186
politics__ca_lobby_cover,filing,event+noun,524828,0001-07-01 00:00:00,8201-04-01 00:00:00,8199.6,CORRUPT_RANGE,RPT_DATE|FROM_DATE|THRU_DATE|CUM_BEG_DT|SIG_DATE,0,219,0.0
politics__ca_lobby_cover2,filing,event+noun,206493,2026-08-05 21:36:55.640576,2026-08-05 21:36:55.640576,0.0,LOAD_DATE_ONLY,,0,0,0.0
politics__ca_lobby_emp_lobbyist,role,link,1500,2026-08-05 21:37:44.838665,2026-08-05 21:37:44.838665,0.0,LOAD_DATE_ONLY,,0,0,0.0
politics__ca_lobby_employer,organization,noun,1730,2026-08-05 21:37:33.809408,2026-08-05 21:37:33.809408,0.0,LOAD_DATE_ONLY,CURRENT_QTR_AMT|QTR_1|QTR_2|QTR_3|QTR_4|QTR_5,0,0,0.0023
politics__ca_lobby_employer_firms,role,link,524,2026-08-05 21:37:40.163961,2026-08-05 21:37:40.163961,0.0,LOAD_DATE_ONLY,TERMINATION_DT,0,0,0.0
politics__ca_lobby_firm,organization,noun,256,2026-08-05 21:37:49.624240,2026-08-05 21:37:49.624240,0.0,LOAD_DATE_ONLY,CURRENT_QTR_AMT|QTR_1|QTR_2|QTR_3|QTR_4|QTR_5,0,0,0.0
politics__ca_lobby_firm_employer,role,link,170,2001-04-01,2026-08-05 21:37:55.142453,25.3,CLEAN,,0,0,0.0
politics__ca_lobby_firm_lobbyist,role,link,577,2026-08-05 21:38:00.679767,2026-08-05 21:38:00.679767,0.0,LOAD_DATE_ONLY,,0,0,0.0
politics__fec_cand_cmte_link,contribution,event,16229,,,,NO_CLOCK,,0,0,0.0
politics__fec_candidate,person,noun,17900,,,,NO_CLOCK,,0,0,0.0
politics__fec_candidate_summary,aggregate,aggregate,7933,,,,NO_CLOCK,,0,0,0.0
politics__fed_congress_committee_membership,person,noun,3879,,,,NO_CLOCK,,0,0,0.0
politics__fed_congress_legislators,person,noun,12847,,,,NO_CLOCK,,0,0,0.0
politics__fed_doj_epstein_library,document,noun,777,2026-06-11 16:52:19,2026-06-11 16:52:44.500000,0.0,SHORT_SPAN,,0,0,0.0
politics__fed_eac_eavs,unresolved,noun,6460,,,,NO_CLOCK,,0,0,0.0
politics__fed_fcc_licensing,unresolved,event,1689338,1917-07-11,2036-09-24,119.2,CORRUPT_RANGE,GRANT_DATE|EXPIRED_DATE|CANCELLATION_DATE|LAST_ACTION_DATE,0,373860,0.0
politics__fed_fec_api,contribution,event,500,,,,UNMEASURED_CLOCK,CANDIDATE_ID|CONTRIBUTION_RECEIPT_DATE|ELECTION_YEAR|LOAD_DATE,0,0,0.0
politics__fed_fec_pac_summary,aggregate,aggregate,45709,2017-01-01,2026-07-24 02:13:26,9.6,CLEAN,,0,0,0.0
politics__fed_fjc_judges,person,noun,4067,1794-06-09,2025-07-24,231.1,CORRUPT_RANGE,BIRTH_MONTH|BIRTH_YEAR|DEATH_MONTH|DEATH_YEAR|RECESS_APPOINTMENT_DATE_1|NOMINATION_DATE_1,10,0,0.0
politics__fed_fjc_service,role,link,4766,1789-09-24,2026-06-27,236.8,CORRUPT_RANGE,RECESS_APPOINTMENT_DATE|NOMINATION_DATE|COMMITTEE_REFERRAL_DATE|HEARING_DATE|COMMITTEE_ACTION_DATE|CONFIRMATION_DATE,365,0,0.0
politics__fed_medsl_house_returns,role,link,29636,,,,UNMEASURED_CLOCK,YEAR|CANDIDATE|CANDIDATEVOTES,0,0,0.0
politics__fed_medsl_president_returns,role,link,3740,,,,UNMEASURED_CLOCK,YEAR|CANDIDATE|CANDIDATEVOTES,0,0,0.0
politics__fed_medsl_senate_returns,role,link,3945,,,,UNMEASURED_CLOCK,YEAR|CANDIDATE|CANDIDATEVOTES,0,0,0.0
politics__fed_voteview_members,person,noun,51061,,,,NO_CLOCK,,0,0,0.0
politics__fed_voteview_rollcall_meta,vote,event,113512,,,,UNMEASURED_CLOCK,DATE|DTL_DESC,0,0,0.0
politics__intl_elections_canada_contributions,contribution,event,12646465,0025-04-07,4002-06-15,3977.1,CORRUPT_RANGE,FISCAL_ELECTION_DATE|CONTRIBUTION_RECEIVED_DATE,2,77,0.0
politics__intl_freedomhouse,aggregate,aggregate,2723,,,,NO_CLOCK,,0,0,0.0
politics__intl_owid_milspend,aggregate,aggregate,9112,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
politics__intl_voeten_unga_votes,vote,event,1823352,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
politics__irs527_8871_orgs,unresolved,event,77591,1808-01-01,2026-07-24 20:46:44,218.6,CORRUPT_RANGE,ESTABLISHED_DATE|MATERIAL_CHANGE_DATE|INSERT_DATETIME,34,0,0.0
politics__irs527_8872_reports,filing,event+noun,55579,1869-09-01,2026-08-05 21:45:35.236922,156.9,CORRUPT_RANGE,PERIOD_BEGIN_DATE|PERIOD_END_DATE|ORG_FORMATION_DATE|QTR_INDICATOR|MONTHLY_RPT_MONTH|PRE_OR_POST_ELECT_DATE,123,0,0.0
politics__irs527_directors_officers,person,noun,189593,2026-08-05 21:45:02.628518,2026-08-05 21:45:02.628518,0.0,LOAD_DATE_ONLY,,0,0,0.0
politics__irs527_eain,unresolved,link,17853,2026-08-05 21:45:29.519383,2026-08-05 21:45:29.519383,0.0,LOAD_DATE_ONLY,,0,0,0.0
politics__irs527_related_entities,organization,noun,64835,2026-08-05 21:45:20.501427,2026-08-05 21:45:20.501427,0.0,LOAD_DATE_ONLY,,0,0,0.0
politics__member_bill_record,membership,link,1104,,,,NO_CLOCK,,0,0,0.0
politics__member_crosswalk,membership,link,12794,,,,NO_CLOCK,,0,0,0.0
politics__member_fec_id,contribution,event,1715,,,,NO_CLOCK,,0,0,0.0
politics__member_money_raised,membership,link,1050,,,,NO_CLOCK,,0,0,0.0
politics__member_spine,membership,link,12794,,,,NO_CLOCK,,0,0,0.0
politics__member_voting_record,membership,link,1105,,,,NO_CLOCK,,0,0,0.0
politics__st_cannabis_policy_bundles,program,noun,1500,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
politics__st_nyc_cfb_campaign_2001_contribution,contribution,event,193741,2026-08-08 01:53:18.818276,2026-08-08 01:53:18.818276,0.0,LOAD_DATE_ONLY,DATE|REFUNDDATE,0,0,0.0
politics__st_nyc_cfb_campaign_2009_contribution,contribution,event,146112,2000-05-02,2026-08-08 01:53:18.818276,26.3,CLEAN,DATE|REFUNDDATE,0,0,0.0
politics__st_nyc_cfb_campaign_2013_contribution,contribution,event,197968,1913-06-13,2026-08-08 01:53:18.818276,113.2,CLEAN,DATE|REFUNDDATE,0,0,0.0
politics__st_nyc_cfb_campaign_2021_contributions,contribution,event,457521,2011-03-11,2026-08-08 01:53:18.818276,15.4,CLEAN,DATE|REFUNDDATE,0,0,0.0
politics__st_nyc_cfb_campaign_2025_contributions,contribution,event,259537,2014-07-31,2026-08-08 01:53:18.818276,12.0,CLEAN,DATE|REFUNDDATE,0,0,0.0
politics__tx_lobby_awards,action,event,1589,2005-01-01,2026-08-05 21:32:04.493602,21.6,CLEAN,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT|LOBBYACTIVITYPERIODCD,0,0,0.0
politics__tx_lobby_cover,filing,event+noun,283803,0205-02-28,2027-04-12,1822.1,CORRUPT_RANGE,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT,0,0,0.0
politics__tx_lobby_dockets,case,event+noun,1207,2001-05-01,2027-01-11,25.7,CLEAN,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT,0,0,0.0
politics__tx_lobby_entertainment,action,event,2836,2005-01-01,2026-08-05 21:31:50.401780,21.6,CLEAN,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT|ACTIVITYDATE,0,0,0.0
politics__tx_lobby_events,action,event,3107,2005-01-01,2026-08-05 21:32:13.908658,21.6,CLEAN,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT|ACTIVITYDATE,0,0,0.0
politics__tx_lobby_food_beverage,action,event,14452,2004-01-01,2026-08-05 21:31:41.497811,22.6,CLEAN,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT|ACTIVITYDATE,0,0,0.0
politics__tx_lobby_gifts,action,event,4084,2004-01-01,2026-08-05 21:31:56.893722,22.6,CLEAN,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT|LOBBYACTIVITYPERIODCD,0,0,0.0
politics__tx_lobby_individual_reporting,payment,event,38662,2000-07-01,2027-01-11,26.5,CLEAN,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT,0,0,0.0
politics__tx_lobby_subject_matter,case,event+noun,209957,1999-08-01,2027-04-12,27.7,CLEAN,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT,0,0,0.0
politics__tx_lobby_transportation,role,link,3697,2000-02-06,2028-06-26,28.4,CLEAN,APPLICABLEYEAR|PERIODSTARTDT|PERIODENDDT|LOBBYACTIVITYPERIODCD,0,0,0.0
politics__voteview_rollcalls,vote,event,3364,2023-01-03,2026-06-25,3.5,CLEAN,,0,0,0.0
politics__voteview_votes,vote,event,945523,,,,NO_CLOCK,,0,0,0.0
politics__xc_jcs_coa,UNMAPPED,unclassified,705,,,,NO_CLOCK,,0,0,0.0
politics__xc_jcs_medians,unresolved,event,102,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
politics__xc_jcs_scotus,unresolved,event,782,,,,NO_CLOCK,,0,0,0.0
politics__xc_owid_cpi,aggregate,aggregate,2312,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
procurement__fed_sam_exclusions,enforcement,event,167928,1908-04-20,2227-07-21,319.2,CORRUPT_RANGE,ACTIVATION_DATE|TERMINATION_DATE,0,1690,0.0
procurement__fed_usaspending_bulk,award,event+noun,49613,,,,UNMEASURED_CLOCK,ACTION_DATE|ACTION_DATE_FISCAL_YEAR|PERIOD_OF_PERFORMANCE_START_DATE|PERIOD_OF_PERFORMANCE_CURRENT_END_DATE|PERIOD_OF_PERFORMANCE_POTENTIAL_END_DATE|ORDERING_PERIOD_END_DATE,0,0,0.0
procurement__fed_usaspending_subawards,award,event+noun,5000,2008-08-01,2026-06-10 16:00:23.716000,17.9,CLEAN,,0,0,0.0
procurement__intl_ec_sercop,unresolved,event,132995,2023-12-20,2026-12-17,3.0,CLEAN,DATE|TENDER_DATEPUBLISHED|AWARD_DATE|CONTRACT_DATESIGNED,0,0,0.0
ref__dim_geography,code,code,6988,,,,NO_CLOCK,,0,0,0.0
ref__dim_state,place,noun,56,,,,NO_CLOCK,,0,0,0.0
reference__fed_dhs_hifld,unresolved,event,500,2014-06-12,2026-07-02 15:24:12.681013,12.1,CLEAN,SOURCE_DATE,0,0,0.0
reference__fed_itis_comments,post,event,70524,1996-06-13 14:51:08,2026-08-08 04:44:10.570840,30.1,CLEAN,COMMENT_TIME_STAMP|UPDATE_DATE,0,0,0.0
reference__fed_itis_experts,person,noun,197,1998-04-28,2026-08-08 04:44:10.570840,28.3,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_geographic_div,code,code,480351,1900-01-01,2026-08-08 04:44:10.570840,126.6,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_hierarchy,code,code,678363,2026-08-08 04:44:10.570840,2026-08-08 04:44:10.570840,0.0,LOAD_DATE_ONLY,,0,0,0.0
reference__fed_itis_jurisdiction,code,code,161922,1997-10-27,2026-08-08 04:44:10.570840,28.8,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_kingdoms,unresolved,link,7,1996-03-26,2026-08-08 04:44:10.570840,30.4,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_longnames,code,code,993346,2026-08-08 04:44:10.570840,2026-08-08 04:44:10.570840,0.0,LOAD_DATE_ONLY,,0,0,0.0
reference__fed_itis_nodc_ids,unresolved,link,209565,1996-06-24,2026-08-08 04:44:10.570840,30.1,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_other_sources,unresolved,event,1071,1996-01-01,2026-08-08 04:44:10.570840,30.6,CLEAN,ACQUISITION_DATE|UPDATE_DATE,0,0,0.0
reference__fed_itis_publications,dataset,noun,30772,1753-01-01,2026-08-08 04:44:10.570840,273.6,CORRUPT_RANGE,LISTED_PUB_DATE|ACTUAL_PUB_DATE|UPDATE_DATE,255,0,0.0
reference__fed_itis_reference_links,code,code,1970107,1996-11-12,2026-08-08 04:44:10.570840,29.7,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_strippedauthor,code,code,214445,2026-08-08 04:44:10.570840,2026-08-08 04:44:10.570840,0.0,LOAD_DATE_ONLY,,0,0,0.0
reference__fed_itis_synonym_links,code,code,315254,1996-06-24,2026-08-08 04:44:10.570840,30.1,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_taxon_authors_lkp,code,code,214445,1996-06-13,2026-08-08 04:44:10.570840,30.2,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_taxon_unit_types,code,code,182,1996-06-13,2026-08-08 04:44:10.570840,30.2,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_taxonomic_units,code,code,993346,1996-06-13 14:51:08,2026-08-08 04:44:10.570840,30.1,CLEAN,INITIAL_TIME_STAMP|UPDATE_DATE,0,0,0.0
reference__fed_itis_tu_comments_links,code,code,192851,1996-06-17,2026-08-08 04:44:10.570840,30.1,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_vern_ref_links,code,code,93078,1900-01-01,2026-08-08 04:44:10.570840,126.6,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_itis_vernaculars,code,code,166778,1997-08-20,2026-08-08 04:44:10.570840,29.0,CLEAN,UPDATE_DATE,0,0,0.0
reference__fed_usgs_gnis_all_names,unresolved,event,1249624,1700-12-31,2026-06-29,325.5,CORRUPT_RANGE,PUBLICATIONDATE|ENDING_DATE|DATE_CREATED,225,0,0.0
reference__fed_usgs_topoview,unresolved,noun,250,2018-02-18,2025-09-22,7.6,CLEAN,DATECREATED|LASTUPDATED|PUBLICATIONDATE,0,0,0.0
reference__intl_eg_capmas,unresolved,event,150,,,,UNMEASURED_CLOCK,YEAR,0,0,0.6533
reference__intl_eurostat,unresolved,event,450,,,,UNMEASURED_CLOCK,TIME,0,0,0.0
reference__intl_gdelt,unresolved,event,1015,,,,UNMEASURED_CLOCK,SQLDATE|MONTHYEAR|YEAR|FRACTIONDATE|DATEADDED,0,0,0.0
reference__xc_crossref_funder_registry,organization,noun,45661,2026-08-07 20:23:56.685612,2026-08-07 20:23:56.685612,0.0,LOAD_DATE_ONLY,,0,0,0.0
reference__xc_owid_fertility,aggregate,aggregate,19402,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
reference__xc_ror_research_organizations,organization,noun,135710,2018-11-14,2026-08-07 20:22:52.794000,7.7,CLEAN,ADMIN_CREATED_DATE|ADMIN_LAST_MODIFIED_DATE,0,0,0.0
regulatory__fed_federal_register_documents,document,noun,94731,2010-12-14,2033-03-07,22.2,CORRUPT_RANGE,PUBLICATION_DATE,0,1,0.0
science__fed_nasa_open_data,unresolved,event,54,1998-05-02,2026-07-02,28.2,CLEAN,RESPONSE_DATE,0,0,0.0
science__fed_nsf_awards,award,event+noun,125,2026-01-16,2031-12-31,6.0,CORRUPT_RANGE,AWARD_DATE|START_DATE|END_DATE,0,17,0.08
science__fed_usgs_earthquakes,action,event,443274,2013-02-27,2026-06-28,13.3,CLEAN,TIME|UPDATED,0,0,0.0
science__intl_embl_ensembl,unresolved,event,643,,,,NO_CLOCK,,0,0,0.0
science__xc_owid_ai_incidents_annual,accident,event,14,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
science_research__fed_nih_reporter,unresolved,event,2122611,1899-12-31,56608739-01-16 20:56:48.000,,UNMEASURED_CLOCK,FISCAL_YEAR|PROJECT_START_DATE|PROJECT_END_DATE|BUDGET_START_DATE|BUDGET_END_DATE|AWARD_NOTICE_DATE,19,2123056,0.0
science_research__fed_retraction_watch,recall,event+noun,71591,1753-01-01,2026-08-05 21:24:40.302602,273.6,CORRUPT_RANGE,RETRACTIONDATE|ORIGINALPAPERDATE,15,0,0.003
science_research__fed_sbir_sttr_awards,award,event+noun,219503,0001-01-01,5025-05-05,5024.2,CORRUPT_RANGE,PROPOSAL_AWARD_DATE|CONTRACT_END_DATE|SOLICITATION_YEAR|SOLICITATION_CLOSE_DATE|PROPOSAL_RECEIPT_DATE|DATE_OF_NOTIFICATION,0,3,0.0
science_research__xc_biorxiv_medrxiv,unresolved,event,432,2021-06-18,2026-06-01,5.0,CLEAN,DATE|PREPRINT_DATE|PUBLISHED_DATE|MONTH,0,0,0.0
science_research__xc_osf_registrations,registration,event+noun,10,2025-12-12 14:24:31.802432,2029-01-01 00:00:00,3.1,CLEAN,ATTRIBUTES_DATE_CREATED|ATTRIBUTES_DATE_MODIFIED|ATTRIBUTES_NODE_LICENSE_YEAR|ATTRIBUTES_DATE_REGISTERED|ATTRIBUTES_DATE_WITHDRAWN|ATTRIBUTES_EMBARGO_END_DATE,0,0,0.0
science_research__xc_retraction_watch_database,recall,event+noun,71388,1753-01-01,2026-08-07 20:23:37.787286,273.6,CORRUPT_RANGE,RETRACTIONDATE|ORIGINALPAPERDATE,15,0,0.0
transport__fed_dot_bts,unresolved,event,21,,,,UNMEASURED_CLOCK,YEAR|MONTH,0,0,0.0
transport__fed_faa_aircraft_registry,asset,noun,315447,1920-12-09,2033-08-31,112.7,CORRUPT_RANGE,YEAR_MFR|LAST_ACTION_DATE|CERT_ISSUE_DATE|AIR_WORTH_DATE|EXPIRATION_DATE,2408,64406,0.0
transport__fed_faa_data_portal,unresolved,event,4,,,,UNMEASURED_CLOCK,UPDATE_FREQUENCY|LAST_UPDATED,0,0,0.25
transport__fed_faa_registry,registry,noun,314417,1970-08-11,1970-08-24,0.0,SHORT_SPAN,YEAR_MFR|LAST_ACTION_DATE|CERT_ISSUE_DATE|AIR_WORTH_DATE|EXPIRATION_DATE,1199875,0,0.0
transport__fed_fra_casualties,unresolved,event,1150788,1997-01-01,2026-08-09 18:22:06.422939,29.6,CLEAN,INCIDENT_YEAR|INCIDENT_MONTH|DATE|TIME,0,0,0.0
transport__fed_fra_crossing_incidents,accident,event,251149,1975-01-01,2026-08-09 18:26:38.946552,51.6,CLEAN,REPORT_YEAR|INCIDENT_YEAR|INCIDENT_MONTH|OTHER_INCIDENT_YEAR|OTHER_INCIDENT_MONTH|MAINTENANCE_INCIDENT_YEAR,0,0,0.0
transport__fed_fra_equipment_accidents,organization,noun,224941,1975-01-01,2026-08-09 18:32:24.930788,51.6,CLEAN,YEAR|ACCIDENT_YEAR|ACCIDENT_MONTH|OTHER_ACCIDENT_YEAR|OTHER_ACCIDENT_MONTH|MAINTENANCE_ACCIDENT_YEAR,0,0,0.0
transport__fed_fra_rail_deaths_by_railroad,person,noun,5152,2026-08-09 18:22:06.422939,2026-08-09 18:22:06.422939,0.0,LOAD_DATE_ONLY,,0,0,0.0
transport__fed_fra_safety,unresolved,event,1,,,,UNMEASURED_CLOCK,EVENT_DATE,0,0,0.0
transport__fed_ntsb_aviation_aircraft,action,event,31503,1980-06-20,2026-08-08 01:55:07.240125,46.1,CLEAN,DATE_LAST_INSP|DPRT_TIME|DPRT_TIMEZN|LCHG_DATE|ACFT_YEAR,0,0,0.0
transport__fed_ntsb_aviation_events,accident,event,30968,2008-01-01,2026-08-08 01:55:07.240125,18.6,CLEAN,EV_DATE|EV_TIME|EV_YEAR|EV_MONTH|WX_OBS_TIME|ALTIMETER,0,0,0.0
transport__fed_ntsb_aviation_injury,accident,event,179179,2020-09-25,2026-08-08 01:55:07.240125,5.9,CLEAN,LCHG_DATE,0,0,0.0
