id,family,status,question,tables,join_grade,join_plan,bridge_needed,filter_columns,no_key_pairs,manual_note
130,HOUSING,not started,Are their affordability contracts expiring in fast-gentrifying areas?,HOUSING__FED_HUD_MF_SECTION8_CONTRACTS | HOUSING__FED_FHFA_HPI,E no shared key,,,HOUSING__FED_HUD_MF_SECTION8_CONTRACTS.TRACS_EFFECTIVE_DATE | HOUSING__FED_HUD_MF_SECTION8_CONTRACTS.TRACS_OVERALL_EXPIRATION_DATE,HOUSING__FED_HUD_MF_SECTION8_CONTRACTS x HOUSING__FED_FHFA_HPI,"bridge HUD MF properties by PROPERTY_ID for zip, then zip vs HPI PLACE_ID where LEVEL is ZIP5"
131,HOUSING,not started,Do they charge higher rates in historically redlined neighborhoods?,HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT | HOUSING__FED_MAPPING_INEQUALITY | HOUSING__FED_CFPB_HMDA_HISTORIC,C geo,HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT.PROPERTY_STATE = HOUSING__FED_MAPPING_INEQUALITY.STATE [STATE] ; HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT.PROPERTY_COUNTY = HOUSING__FED_CFPB_HMDA_HISTORIC.COUNTY_NAME [COUNTY_NAME] ; HOUSING__FED_MAPPING_INEQUALITY.FIPS = HOUSING__FED_CFPB_HMDA_HISTORIC.COUNTY_CODE [COUNTY_FIPS],,HOUSING__FED_CFPB_HMDA_HISTORIC.AS_OF_YEAR | HOUSING__FED_CFPB_HMDA_HISTORIC.SOURCE_YEAR | HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT.ENDORSEMENT_YEAR,,
132,HOUSING+JUSTICE,not started,Do bankruptcy filings spike in the year after?,JUSTICE__FED_FJC_IDB_BANKRUPTCY | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,C geo,JUSTICE__FED_FJC_IDB_BANKRUPTCY.DEBTOR1_COUNTY = HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.COUNTY [COUNTY_NAME],,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.APPLIED_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DECLARATION_DATE | JUSTICE__FED_FJC_IDB_BANKRUPTCY.FILE_DATE | JUSTICE__FED_FJC_IDB_BANKRUPTCY.ORIGINAL_FILING_DATE,,
133,HEALTH+JUSTICE,not started,Do the most-sued chains also get the most fines?,JUSTICE__FED_FJC_IDB_CIVIL | HEALTH__FED_NURSINGHOME411 | HEALTH__FED_CMS_NURSING_HOME_PENALTIES,B hard ID,JUSTICE__FED_FJC_IDB_CIVIL.COUNTY = HEALTH__FED_NURSINGHOME411.COUNTY_PARISH [COUNTY_NAME] ; HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN [CCN],HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_LTCH.CCN [CCN] then HEALTH__FED_CMS_LTCH.COUNTY_PARISH = JUSTICE__FED_FJC_IDB_CIVIL.COUNTY [COUNTY_NAME],HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PAYMENT_DENIAL_START_DATE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PENALTY_DATE | HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR | JUSTICE__FED_FJC_IDB_CIVIL.FILE_DATE | JUSTICE__FED_FJC_IDB_CIVIL.TAPE_YEAR,,
134,HEALTH+JUSTICE,not started,Are they still allowed to work in health care because they were never formally banned?,JUSTICE__FED_FJC_IDB_CRIMINAL | HEALTH__FED_HHS_OIG_LEIE,D name match,JUSTICE__FED_FJC_IDB_CRIMINAL.DEFENDANT_NAME = HEALTH__FED_HHS_OIG_LEIE.LAST_NAME [PERSON_NAME],,HEALTH__FED_HHS_OIG_LEIE.EXCLUSION_DATE | HEALTH__FED_HHS_OIG_LEIE.REINSTATEMENT_DATE | JUSTICE__FED_FJC_IDB_CRIMINAL.FISCAL_YEAR | JUSTICE__FED_FJC_IDB_CRIMINAL.TAPE_YEAR,,
135,HEALTH+JUSTICE,not started,Does patient care quality drop afterward?,JUSTICE__XC_RANSOMWARELIVE_VICTIMS | HEALTH__FED_CMS_HOSPITAL_GENERAL | HEALTH__FED_NURSINGHOME411,B hard ID +gap,HEALTH__FED_CMS_HOSPITAL_GENERAL.CCN = HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN [CCN],,HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,JUSTICE__XC_RANSOMWARELIVE_VICTIMS x HEALTH__FED_CMS_HOSPITAL_GENERAL ; JUSTICE__XC_RANSOMWARELIVE_VICTIMS x HEALTH__FED_NURSINGHOME411,
136,JUSTICE+RAW,not started,Do the ones with the most known security flaws still win contracts?,JUSTICE__FED_CISA_KEV | FED_USASPENDING_CONTRACTS_FULL_R2,E no shared key,,,FED_USASPENDING_CONTRACTS_FULL_R2.ACTION_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.PERIOD_OF_PERFORMANCE_START_DATE | JUSTICE__FED_CISA_KEV.DATE_ADDED | JUSTICE__FED_CISA_KEV.DUE_DATE,JUSTICE__FED_CISA_KEV x FED_USASPENDING_CONTRACTS_FULL_R2,name join: CISA VENDOR_PROJECT vs RECIPIENT_NAME
137,JUSTICE+RAW,not started,Are any of them showing up at U.S. ports anyway?,JUSTICE__FED_OFAC_SDN | FED_NOAA_AIS,B hard ID,JUSTICE__FED_OFAC_SDN.IMO_NUMBER = FED_NOAA_AIS.MMSI [VESSEL],,FED_NOAA_AIS.BASEDATETIME | FED_NOAA_AIS.DATE,,
138,JUSTICE+RAW,not started,Do the ones involved in the most killings still get the most federal grant money?,JUSTICE__XC_MAPPING_POLICE_VIOLENCE | FED_USASPENDING_ASSISTANCE_FULL,C geo,JUSTICE__XC_MAPPING_POLICE_VIOLENCE.COUNTY = FED_USASPENDING_ASSISTANCE_FULL.recipient_county_name [COUNTY_NAME],,FED_USASPENDING_ASSISTANCE_FULL.action_date | FED_USASPENDING_ASSISTANCE_FULL.action_date_fiscal_year | JUSTICE__XC_MAPPING_POLICE_VIOLENCE.DATE_OF_INCIDENT_MONTH_DAY_YEAR,,
139,HEALTH+JUSTICE,part done,Are more dealers in an area linked to more gun deaths?,JUSTICE__FED_ATF_FFL | JUSTICE__FED_FBI_NICS_CHECKS | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,D name match +gap,JUSTICE__FED_ATF_FFL.PREMISE_STATE = JUSTICE__FED_FBI_NICS_CHECKS.STATE [STATE] ; JUSTICE__FED_ATF_FFL.BUSINESS_NAME = HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.NAME [ORG_NAME],,HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.TTM_DATE_RANGE,JUSTICE__FED_FBI_NICS_CHECKS x HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,
140,CROSS 3+,not started,Which investment funds and political donors are behind them?,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022 | ENERGY__FED_EIA860_4_OWNER | FED_SEC_13F_POSITIONS | POLITICS__FED_FEC_PAC_SUMMARY,C geo +gap,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022.PLANT_STATE_ABBREVIATION = ENERGY__FED_EIA860_4_OWNER.STATE [STATE] ; ENVIRONMENT__FED_EPA_EGRID_PLANT_2022.PLANT_TRANSMISSION_OR_DISTRIBUTION_SYSTEM_OWNER_NAME = POLITICS__FED_FEC_PAC_SUMMARY.COMMITTEE_NAME [ORG_NAME] ; ENERGY__FED_EIA860_4_OWNER.OWNER_NAME = POLITICS__FED_FEC_PAC_SUMMARY.COMMITTEE_NAME [ORG_NAME],FED_SEC_13F_POSITIONS.ACCESSION_NUMBER = FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER [ACCESSION] then FINANCE__FED_SEC_13F_FILERS.FILINGMANAGER_ZIPCODE = ENERGY__FED_EIA860_4_OWNER.OWNER_ZIP [ZIP],ENVIRONMENT__FED_EPA_EGRID_PLANT_2022.DATA_YEAR | POLITICS__FED_FEC_PAC_SUMMARY.COVERAGE_END_DATE,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022 x FED_SEC_13F_POSITIONS ; FED_SEC_13F_POSITIONS x POLITICS__FED_FEC_PAC_SUMMARY,
141,ENERGY+ENVIRONMENT,not started,Do the ones with the worst storm outages also charge the highest rates?,ENERGY__FED_EIA861_RELIABILITY | ENERGY__FED_EIA861_SERVICE_TERRITORY | ENVIRONMENT__FED_NOAA_STORM_EVENTS | ENERGY__FED_EIA861_SALES_ULT_CUST,C geo,ENERGY__FED_EIA861_RELIABILITY.STATE = ENERGY__FED_EIA861_SERVICE_TERRITORY.STATE [STATE] ; ENERGY__FED_EIA861_RELIABILITY.STATE = ENVIRONMENT__FED_NOAA_STORM_EVENTS.STATE [STATE] ; ENERGY__FED_EIA861_RELIABILITY.STATE = ENERGY__FED_EIA861_SALES_ULT_CUST.STATE [STATE] ; ENERGY__FED_EIA861_SERVICE_TERRITORY.COUNTY = ENVIRONMENT__FED_NOAA_STORM_EVENTS.CZ_NAME [COUNTY_NAME] ; ENERGY__FED_EIA861_SERVICE_TERRITORY.STATE = ENERGY__FED_EIA861_SALES_ULT_CUST.STATE [STATE] ; ENVIRONMENT__FED_NOAA_STORM_EVENTS.STATE = ENERGY__FED_EIA861_SALES_ULT_CUST.STATE [STATE],,ENERGY__FED_EIA861_RELIABILITY.DATA_YEAR | ENERGY__FED_EIA861_SALES_ULT_CUST.DATA_YEAR | ENERGY__FED_EIA861_SERVICE_TERRITORY.DATA_YEAR | ENVIRONMENT__FED_NOAA_STORM_EVENTS.BEGIN_DATE_TIME | ENVIRONMENT__FED_NOAA_STORM_EVENTS.YEAR,,
142,ENVIRONMENT+RAW,not started,Do some have pollution spikes that never trigger a violation?,FED_EPA_CAMPD_EMISSIONS_DAILY | ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY | ENVIRONMENT__FED_EPA_AQS_SITES,D name match,FED_EPA_CAMPD_EMISSIONS_DAILY.STATE = ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY.STATE_CODE [STATE] ; FED_EPA_CAMPD_EMISSIONS_DAILY.STATE = ENVIRONMENT__FED_EPA_AQS_SITES.STATE_CODE [STATE] ; ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY.STATE_CODE = ENVIRONMENT__FED_EPA_AQS_SITES.STATE_CODE [STATE],,ENVIRONMENT__FED_EPA_AQS_SITES.SITE_CLOSED_DATE | ENVIRONMENT__FED_EPA_AQS_SITES.SITE_ESTABLISHED_DATE | ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY.EARLIEST_FRV_DETERM_DATE | ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY.HPV_DAYZERO_DATE | FED_EPA_CAMPD_EMISSIONS_DAILY.DATE,,
143,HEALTH+RAW,part done,Are they paying the same doctors running the trial to also promote the drug?,FED_CLINICALTRIALS_FULL | HEALTH__FED_CMS_OPEN_PAYMENTS,D name match,FED_CLINICALTRIALS_FULL.LEAD_SPONSOR_NAME = HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_FIRST_NAME [ORG_NAME],,FED_CLINICALTRIALS_FULL.COMPLETION_DATE | FED_CLINICALTRIALS_FULL.START_DATE | HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,,
144,IMMIGRATION,part done,Do outcomes vary a lot by judge and detention facility?,IMMIGRATION__FED_EOIR_CASES,single table,,,IMMIGRATION__FED_EOIR_CASES.DATE_DETAINED | IMMIGRATION__FED_EOIR_CASES.DATE_OF_ENTRY,,
A32,CROSS 3+,not started,Do banned companies' owners also donate to political campaigns?,HEALTH__FED_HHS_OIG_LEIE | PROCUREMENT__FED_SAM_EXCLUSIONS | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,B hard ID,HEALTH__FED_HHS_OIG_LEIE.NPI = PROCUREMENT__FED_SAM_EXCLUSIONS.NPI [NPI] ; HEALTH__FED_HHS_OIG_LEIE.ZIP = FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE [ZIP] ; PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP = FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE [ZIP],,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.TRANSACTION_DATE | HEALTH__FED_HHS_OIG_LEIE.EXCLUSION_DATE | HEALTH__FED_HHS_OIG_LEIE.REINSTATEMENT_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.ACTIVATION_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.TERMINATION_DATE_RAW,,
A33,FINANCE+HEALTH,not started,Do the worst-fined chains also run a political action committee?,HEALTH__FED_NURSINGHOME411 | FINANCE__FED_FEC_COMMITTEES,D name match,HEALTH__FED_NURSINGHOME411.STATE = FINANCE__FED_FEC_COMMITTEES.CMTE_ST [STATE],,HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,,
A34,CROSS 3+,not started,Do polluted districts get less help from their representative?,FED_HOUSE_DISBURSEMENTS | ENVIRONMENT__FED_EPA_TRI_FACILITY | HOUSING__FED_MAPPING_INEQUALITY,C geo +gap,FED_HOUSE_DISBURSEMENTS.VENDOR_NAME = ENVIRONMENT__FED_EPA_TRI_FACILITY.FACILITY_NAME [ORG_NAME] ; ENVIRONMENT__FED_EPA_TRI_FACILITY.STATE_COUNTY_FIPS_CODE = HOUSING__FED_MAPPING_INEQUALITY.FIPS [COUNTY_FIPS],,FED_HOUSE_DISBURSEMENTS.FISCAL_YEAR_OR_LEGISLATIVE_YEAR | FED_HOUSE_DISBURSEMENTS.TRANSACTION_DATE,FED_HOUSE_DISBURSEMENTS x HOUSING__FED_MAPPING_INEQUALITY,
A35,POLITICS+RAW,not started,Do members trade stock in industries their committee oversees?,FED_HOUSE_FD_PTR_INDEX | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,E no shared key,,,FED_HOUSE_FD_PTR_INDEX.FILINGDATE | FED_HOUSE_FD_PTR_INDEX.YEAR | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.SNAPSHOT_DATE,FED_HOUSE_FD_PTR_INDEX x POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,"name join: FD_PTR LAST plus FIRST plus STATEDST vs MEMBER_NAME, or bridge on bioguide via a legislators table"
A36,FINANCE+POLITICS,not started,Do the industries caught defrauding Medicare fund the committees that oversee Medicare?,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,D name match,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE.NAME = POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.COMMITTEE_NAME [ORG_NAME],,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE.TRANSACTION_DT | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.SNAPSHOT_DATE,,
A37,CROSS 3+,not started,Do sanctioned individuals still show up as political donors?,JUSTICE__FED_OFAC_SDN | INTL_UN_CONSOLIDATED_SANCTIONS | JUSTICE__INTL_UK_SANCTIONS_LIST | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,A measured +gap,JUSTICE__FED_OFAC_SDN.IMO_NUMBER = JUSTICE__INTL_UK_SANCTIONS_LIST.IMO_NUMBER [measured 29 shared] ; JUSTICE__INTL_UK_SANCTIONS_LIST.IMO_NUMBER = JUSTICE__FED_OFAC_SDN.IMO_NUMBER [measured 29 shared] ; INTL_UN_CONSOLIDATED_SANCTIONS.FIRST_NAME = FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.DONOR_NAME [PERSON_NAME],,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.TRANSACTION_DATE | INTL_UN_CONSOLIDATED_SANCTIONS.INDIVIDUAL_DATE_OF_BIRTH | INTL_UN_CONSOLIDATED_SANCTIONS.LAST_DAY_UPDATED | JUSTICE__INTL_UK_SANCTIONS_LIST.DATE_DESIGNATED | JUSTICE__INTL_UK_SANCTIONS_LIST.LAST_UPDATED,JUSTICE__FED_OFAC_SDN x INTL_UN_CONSOLIDATED_SANCTIONS ; JUSTICE__FED_OFAC_SDN x FINANCE__FED_FEC_INDIV_CONTRIBUTIONS ; INTL_UN_CONSOLIDATED_SANCTIONS x JUSTICE__INTL_UK_SANCTIONS_LIST ; JUSTICE__INTL_UK_SANCTIONS_LIST x FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,
E32,ENVIRONMENT+HOUSING,nothing there,Do drinking water violations spike after a flood?,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,C geo,,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.PWSID = ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS.PWSID [PWSID] then ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS.ZIP_CODE = HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DAMAGED_ZIP_CODE [ZIP],ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.COMPL_PER_BEGIN_DATE | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.COMPL_PER_END_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.APPLIED_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DECLARATION_DATE,,
E33,ENVIRONMENT,found a little,Do they violate pollution rules more right after a storm?,ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY | ENVIRONMENT__FED_NOAA_STORM_EVENTS,C geo,,ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY.NPDES_ID = ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES.NPDES_ID [NPDES_ID] then ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES.COUNTY_CODE = ENVIRONMENT__FED_NOAA_STORM_EVENTS.CZ_FIPS [COUNTY_FIPS],ENVIRONMENT__FED_NOAA_STORM_EVENTS.BEGIN_DATE_TIME | ENVIRONMENT__FED_NOAA_STORM_EVENTS.YEAR,,
E34,ENVIRONMENT+HEALTH,nothing there,Do they have more drug overdose deaths?,ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS | HEALTH__FED_CDC_DRUG_POISONING_COUNTY,E no shared key,,,ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS.ACTUAL_RTC_DATE | ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS.DATE_VIOLATION_DETERMINED | HEALTH__FED_CDC_DRUG_POISONING_COUNTY.YEAR,ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS x HEALTH__FED_CDC_DRUG_POISONING_COUNTY,"RCRA_VIOLATIONS ID_NUMBER to RCRA_FACILITIES for zip, then zip to county needs a zip-county crosswalk, none in the catalog"
E35,HEALTH+JUSTICE,found a little,Did overdose deaths rise where jails emptied out?,JUSTICE__XC_VERA_INCARCERATION_TRENDS | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,C geo,JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS = HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID [COUNTY_FIPS],,HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.TTM_DATE_RANGE | JUSTICE__XC_VERA_INCARCERATION_TRENDS.YEAR,,
E36,HEALTH+HOUSING,nothing there,Does overdose death rise after a disaster?,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,C geo,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS = HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID [COUNTY_FIPS],,HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.TTM_DATE_RANGE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.APPLIED_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DECLARATION_DATE,,
E37,HEALTH,nothing there,Does a pay raise from a drug company lead to more prescriptions?,HEALTH__FED_CMS_OPEN_PAYMENTS_2023 | HEALTH__FED_CMS_OPEN_PAYMENTS | HEALTH__FED_CMS_PART_D_PRESCRIBERS,A measured,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID = HEALTH__FED_CMS_OPEN_PAYMENTS_2023.COVERED_RECIPIENT_PROFILE_ID [measured 715581 shared] ; HEALTH__FED_CMS_OPEN_PAYMENTS_2023.COVERED_RECIPIENT_PROFILE_ID = HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID [measured 715581 shared] ; HEALTH__FED_CMS_OPEN_PAYMENTS_2023.NPI = HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI [NPI] ; HEALTH__FED_CMS_OPEN_PAYMENTS.NPI = HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI [NPI],,HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.PROGRAM_YEAR,,
E38,HEALTH,found something,Are drug and device companies still paying them anyway?,HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS | HEALTH__FED_CMS_OPEN_PAYMENTS,B hard ID,HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.NPI = HEALTH__FED_CMS_OPEN_PAYMENTS.NPI [NPI],,HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR | HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.OPTOUT_EFFECTIVE_DATE | HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.OPTOUT_END_DATE,,
E39,HEALTH,found something,Do the paid ones prescribe way more opioids than unpaid ones?,HEALTH__FED_CMS_OPEN_PAYMENTS | HEALTH__FED_CMS_PART_D_PRESCRIBERS,B hard ID,HEALTH__FED_CMS_OPEN_PAYMENTS.NPI = HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI [NPI],,HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,,
E40,HEALTH,found something,Are brand-new doctors billing Medicare for millions in expensive wound-care products?,HEALTH__FED_CMS_NPPES | HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,B hard ID,HEALTH__FED_CMS_NPPES.NPI = HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI.RNDRNG_NPI [NPI],,HEALTH__FED_CMS_NPPES.LAST_UPDATE_DATE | HEALTH__FED_CMS_NPPES.PROVIDER_ENUMERATION_DATE,,
E41,HEALTH,found something,Can hospitals still legally order tests and equipment through them?,HEALTH__FED_HHS_OIG_LEIE | HEALTH__FED_CMS_ORDER_AND_REFERRING,B hard ID,HEALTH__FED_HHS_OIG_LEIE.NPI = HEALTH__FED_CMS_ORDER_AND_REFERRING.NPI [NPI],,HEALTH__FED_HHS_OIG_LEIE.EXCLUSION_DATE | HEALTH__FED_HHS_OIG_LEIE.REINSTATEMENT_DATE,,
E42,HEALTH,found something,Is drug industry money still being sent to them?,HEALTH__FED_CMS_NPPES | HEALTH__FED_CMS_OPEN_PAYMENTS,B hard ID,HEALTH__FED_CMS_NPPES.NPI = HEALTH__FED_CMS_OPEN_PAYMENTS.NPI [NPI],,HEALTH__FED_CMS_NPPES.LAST_UPDATE_DATE | HEALTH__FED_CMS_NPPES.PROVIDER_ENUMERATION_DATE | HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,,
E43,HEALTH,found something,Were they already losing money before the sale?,HEALTH__FED_CMS_HCRIS | HEALTH__FED_CMS_POS_OTHER,B hard ID,HEALTH__FED_CMS_HCRIS.PROVIDER_CCN = HEALTH__FED_CMS_POS_OTHER.CCN [CCN],,HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE | HEALTH__FED_CMS_HCRIS.SOURCE_FILE_YEAR | HEALTH__FED_CMS_POS_OTHER.CHOW_DT | HEALTH__FED_CMS_POS_OTHER.CRTFCTN_DT,,
E44,HEALTH,found something,Did its safety violations get worse right before the fines hit?,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES | HEALTH__FED_CMS_NURSING_HOME_PENALTIES,B hard ID,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN [CCN],,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CORRECTION_DATE | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.SURVEY_DATE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PAYMENT_DENIAL_START_DATE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PENALTY_DATE,,
E45,ENVIRONMENT+HEALTH,nothing there,Do safety violations spike after a storm hits the area?,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES | ENVIRONMENT__FED_NOAA_STORM_EVENTS,D name match,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.STATE = ENVIRONMENT__FED_NOAA_STORM_EVENTS.STATE [STATE],,ENVIRONMENT__FED_NOAA_STORM_EVENTS.BEGIN_DATE_TIME | ENVIRONMENT__FED_NOAA_STORM_EVENTS.YEAR | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CORRECTION_DATE | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.SURVEY_DATE,,
